"Cart Price Rules","Cart Price Rules"
"Add New Rule","Adicionar Nova Regra"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Edit Rule '%1'","Editar Regra '%1'"
"New Rule","Nova Regra"
"Rule Information","Informações da Regra"
"Actions","Ações"
"Pricing Structure Rules","Regras para estrutura de preço"
"Apply","Aplicar"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"Discount Amount","Quantidade do Desconto"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discard subsequent rules","Descartar as regras subseqüentes"
"Yes","Sim"
"No","Não"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items)."
"Apply To","Aplicar a"
"Conditions","Condições"
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Manage Coupon Codes","Manage Coupon Codes"
"Coupons Information","Coupons Information"
"Coupon Qty","Coupon Qty"
"Code Length","Tamanho do código"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
"Code Format","Formato do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo do código"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","If empty no separation."
"Generate","Gerar"
"Coupon Code","Código do cupom"
"Created","Criado"
"Uses","Usos"
"Times Used","Número de usos"
"CSV","CSV"
"Excel XML","Excel, XML"
"Delete","Excluir"
"Are you sure you want to delete the selected coupon(s)?","Você tem certeza que deseja excluir o(s) cupões selecionado(s)?"
"Labels","Labels"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Store View Specific Labels","Store View Specific Labels"
"General Information","Informações gerais"
"Rule Name","Nome da regra"
"Description","Descrição"
"Status","Status"
"Active","Ativo"
"Inactive","Inativo"
"Websites","Websites"
"Customer Groups","Grupos de Cliente"
"Coupon","Cupom"
"Use Auto Generation","Use Auto Generation"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Usos por cliente"
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"From","De"
"To","Até"
"Priority","Prioridade"
"Public In RSS Feed","Public In RSS Feed"
"Cart Price Rule","Regra de preço no carrinho"
"ID","ID"
"Rule","Regra"
"Start","Ínicio"
"End","End"
"%1 - Discounts and Coupons","%1 - Discounts and Coupons"
"Coupons/Discounts","Coupons/Discounts"
"Promotions","Promoções"
"You deleted the rule.","Você excluiu a regra."
"We can't delete the rule right now. Please review the log and try again.","We can't delete the rule right now. Please review the log and try again."
"We can't find a rule to delete.","Não é possível encontrar uma regra para excluir."
"This rule no longer exists.","Esta regra não existe mais."
"Edit Rule","Editar Regra"
"New Cart Price Rule","New Cart Price Rule"
"Rule is not defined","Rule is not defined"
"Invalid data provided","Invalid data provided"
"%1 coupon(s) have been generated.","%1 coupon(s) have been generated."
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"Catalog","Catálogo"
"The wrong rule is specified.","The wrong rule is specified."
"You saved the rule.","Você gravou a regra."
"Something went wrong while saving the rule data. Please review the error log.","Problema ao tentar salvar os dados da regra. Por favor, revise o log de erros."
"Alphanumeric","Alfanumérico"
"Alphabetical","Alfabética"
"Numeric","Numérico"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"Specified rule does not allow coupons","Specified rule does not allow coupons"
"Specified rule only allows auto generated coupons","Specified rule only allows auto generated coupons"
"Specified rule does not allow auto generated coupons","Specified rule does not allow auto generated coupons"
"Error occurred when saving coupon: %1","Error occurred when saving coupon: %1"
"Discount (%1)","Desconto (%1)"
"Discount","Desconto"
"Coupon with the same code","Coupon with the same code"
"No Coupon","Sem cupom"
"Specific Coupon","Cupom específico"
"Auto","Automático"
"Can't acquire coupon.","Can't acquire coupon."
"Update the Product","Atualizar produto"
"Special Price","Preço Especial"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Update product's %1 %2: %3","Atualizar produto(s) %1 %2: %3"
"Subtotal","Subtotal"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Peso total"
"Payment Method","Forma de pagamento"
"Shipping Method","Método de Entrega"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
