"Unable to save address. Please, check input data.","Não é possível salvar o endereço. Por favor, verifique os dados de entrada."
"Cart %1 doesn't contain products","O carrinho %1 não contém produtos"
"Could not apply coupon code","Não foi possivel aplicar o código do cupom"
"Coupon code is not valid","O código do cupom não é válido"
"Could not delete coupon code","Não foi possível excluir o código do cupom"
"Shipping address is not set","Endereço de envio não está definido"
"The requested Payment Method is not available.","O método de pagamento solicitado não está disponível."
"We found an invalid request for adding product to quote.","Encontramos uma solicitação inválida para adicionar o produto para cotação."
"This is the wrong quote item id to update configuration.","This is the wrong quote item id to update configuration."
"This shipping method is not available. To use this shipping method, please contact us.","This shipping method is not available. To use this shipping method, please contact us."
"The address model is not defined.","O modelo de endereço não está definido."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Grand Total","Total geral"
"Shipping & Handling (%1)","Envio e Manuseio (%1)"
"Shipping & Handling","Envio e Manuseio"
"Shipping","Frete"
"Subtotal","Subtotal"
"We found an invalid item option format.","We found an invalid item option format."
"An item option with code %1 already exists.","Uma opção de item com o código %1 já existe."
"Item qty declaration error","Item qty declaration error"
"Some of the products below do not have all the required options.","Some of the products below do not have all the required options."
"Something went wrong during the item options declaration.","Something went wrong during the item options declaration."
"We found an item options declaration error.","We found an item options declaration error."
"Some of the selected options are not currently available.","Some of the selected options are not currently available."
"Selected option(s) or their combination is not currently available.","Selected option(s) or their combination is not currently available."
"Some item options or their combination are not currently available.","Some item options or their combination are not currently available."
"Cart %1 doesn't contain item  %2","Cart %1 doesn't contain item  %2"
"Could not save quote","Could not save quote"
"Could not remove item from quote","Could not remove item from quote"
"The qty value is required to update quote item.","The qty value is required to update quote item."
"Invalid customer id %1","Invalid customer id %1"
"Invalid address id %1","Invalid address id %1"
"Cannot create quote","Cannot create quote"
"Cannot assign customer to the given cart. The cart belongs to different store.","Cannot assign customer to the given cart. The cart belongs to different store."
"Cannot assign customer to the given cart. The cart is not anonymous.","Cannot assign customer to the given cart. The cart is not anonymous."
"Cannot assign customer to the given cart. Customer already has active cart.","Cannot assign customer to the given cart. Customer already has active cart."
"Cannot place order.","Não foi possível fechar o pedido."
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"Please check the shipping address information. %1","Please check the shipping address information. %1"
"Please specify a shipping method.","Por favor, especifique um método de envio."
"Please check the billing address information. %1","Please check the billing address information. %1"
"Please select a valid payment method.","Please select a valid payment method."
"Store Credit","Loja de Crédito"
"Discount","Desconto"
"Tax","Taxa"
"Cart contains virtual product(s) only. Shipping address is not applicable.","O carrinho contem somente produtos virtuais. Endereço de entrega não se aplica."
"Shipping address not set.","Shipping address not set."
"Shipping method is not applicable for empty cart","Método de envio não aplicável para Carrinho de Compras vazio"
"Cart contains virtual product(s) only. Shipping method is not applicable.","Cart contains virtual product(s) only. Shipping method is not applicable."
"Carrier with such method not found: %1, %2","Transportador com esse método não encontrado: %1, %2"
"Cannot set shipping method. %1","Cannot set shipping method. %1"
"error123","error123"
"error345","error345"
