"Downloadable Information","Informações de Download"
"Add New Link","Add New Link"
"Upload Files","Enviar Arquivo"
"All Files","Todos os Arquivos"
"Unlimited","Ilimitado"
"Something went wrong while getting the requested content.","Ocorreu algum problema ao solicitar o conteúdo."
"My Downloadable Products","Meus produtos para download"
"We can't find the link you requested.","Não encontramos o link que você pediu."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Por favor, efetue login para realizar o download de seu produto ou comprar <a href=""%1"">%2</a>."
"Please sign in to download your product.","Por favor, efetue login para realizar o download de seu produto."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpa, ocorreu um erro ao solicitar o conteúdo que desejava. Entre em contato com o dono da loja."
"Please set resource file and link type.","Por favor, defina o arquivo de recurso e tipo de link."
"Invalid download link type.","Tipo de link do download inválido."
"Something went wrong while saving the file(s).","Ocorreu algum problema ao salvar o(s) arquivo(s)."
"Provided content must be valid base64 encoded data.","O conteúdo fornecido deve ser codificado utilizado dados base64 válidos."
"Provided file name contains forbidden characters.","O nome de arquivo fornecido contém caracteres proibidos."
"Link price must have numeric positive value.","O preço do link deve ter valor numérico positivo."
"Number of downloads must be a positive integer.","O número de downloads deve ser um inteiro positivo."
"Sort order must be a positive integer.","A ordem de classificação deve ser um inteiro positivo."
"Link URL must have valid format.","A URL do link precisa ter um formato válido."
"Provided file content must be valid base64 encoded data.","O conteúdo fornecido deve ser codificado utilizado dados base64 válidos."
"Sample URL must have valid format.","A URL de Amostra precisa ter um formato válido."
"Order id cannot be null","Id de ordem não pode ser nulo"
"Order item id cannot be null","Item do Id do pedido não pode ser nulo"
"Product type of the product must be 'downloadable'.","O tipo do produto deve ser ""Download""."
"Provided link information is invalid.","A informação do link fornecido é inválida."
"Invalid link type.","Tipo de link inválido."
"Link title cannot be empty.","Titulo do link não pode ser vazio."
"There is no downloadable link with provided ID.","Não há um link de download com o ID fornecido."
"Provided downloadable link is not related to given product.","O link de download fornecido não está relacionado com o produto."
"Please specify product link(s).","Por favor, especifique o(s) link(s) do produto."
"Provided sample information is invalid.","Informações de exemplo fornecidas são inválidas."
"Invalid sample type.","Tipo de amostra inválido."
"Sample title cannot be empty.","Título de exemplo não pode estar vazio."
"There is no downloadable sample with provided ID.","Não há exemplo para download no ID fornecido."
"Provided downloadable sample is not related to given product.","O link de download da amostra fornecido não está relacionado com o produto."
"attachment","anexo"
"inline","inline"
"Pending","Pendente"
"Invoiced","Faturado"
"sample","amostra"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Links"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[VISÃO DE LOJA]"
"Title","Título"
"Use Default Value","Usar o Valor Padrão"
"[GLOBAL]","[GLOBAL]"
"Links can be purchased separately","Links podem ser comprados separadamente"
"Sort Order","Ordernação"
"Price","Preço"
"Attach File or Enter Link","Attach File or Enter Link"
"Sample","Exemplo"
"Shareable","Compartilhável"
"Max. Downloads","Max. Downloads"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanuméricos, caracteres de traço e sublinhado são recomendadas para nomes de arquivo. Caracteres impróprios são substituídos por '_'."
"Sort Variations","Variações de Ordenação"
"File","Arquivo"
"Browse Files...","Procurar Arquivos..."
"URL","URL"
"Yes","Sim"
"No","Não"
"Use config","Usar o config"
"Delete","Excluir"
"Samples","Exemplos"
"Add product preview files here.","Add product preview files here."
"SKU","SKU"
"U","U"
"Select all","Selecionar tudo"
"Unselect all","Desmarcar todos"
"Availability","Disponibilidade"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Go to <a href=""%1"">My Downloadable Products</a>","Ir para <a href=""%1""> Meus produtos para download</a>"
"Downloadable Products","Produtos para download"
"Order #","Pedido #"
"Date","Data"
"Status","Status"
"Remaining Downloads","Downloads Restantes "
"View Order","Visualizar pedido"
"Start Download","Iniciar Download"
"You have not purchased any downloadable products yet.","Você ainda não comprou qualquer produto para download."
"Back","Voltar"
"download","baixar"
"Gift Message","Mensagem do presente"
"From:","De:"
"To:","Para:"
"Message:","Mensagem:"
"Product Name","Nome do produto"
"Qty","Qtd"
"Subtotal","Subtotal"
"Discount Amount","Quantidade do Desconto"
"Row Total","Linha Total"
"Qty Invoiced","Quantidade faturada"
"Ordered","Ordenado"
"Shipped","Enviado"
"Canceled","Cancelado"
"Refunded","Reembolsado"
"We could not detect a size.","Não foi possível detectar o tamanho."
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
