"Change Billing Address","Alterar endereço de cobrança"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Billing Information - %1","Billing Information - %1"
"Review Order - %1","Review Order - %1"
"Total","Total"
"Total for this address","Total for this address"
"Shipping Methods","Métodos de envio"
"Edit Address","Editar o Endereço"
"Edit Billing Address","Edit Billing Address"
"Edit Shipping Address","Edit Shipping Address"
"Create Billing Address","Create Billing Address"
"Create Shipping Address","Create Shipping Address"
"Data saving problem","Data saving problem"
"We cannot open the overview page.","We cannot open the overview page."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Order place error","Order place error"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"Please check shipping address information.","Por favor, verifique as informações do endereço de envio."
"Please check billing address information.","Por favor, verifique as informações do endereço de cobrança."
"Please select shipping methods for all addresses.","Por favor, selecione os métodos de envio para todos os endereços."
"A payment method is not defined.","O método de pagamento não foi definido."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","O item não foi encontrado ou já foi comprado"
"Please specify a payment method.","Por favor, especifique um método de pagamento."
"Please check shipping addresses information.","Por favor, verifique as informações dos endereços de envio."
"Please specify shipping methods for all addresses.","Por favor, especifique os métodos de envio para todos os endereços."
"Select Addresses","Selecione os endereços"
"Shipping Information","Dados de Entrega"
"Billing Information","Dados de Cobrança"
"Place Order","Finalizar Pedido"
"Order Success","Pedido realizado"
"Default Billing","Padrão de cobrança"
"Default Shipping","Padrão de envio"
"Select Address","Selecione o endereço"
"Add New Address","Adicionar Novo Endereço"
"Back to Billing Information","Voltar para informações de cobrança"
"Please select a shipping address for applicable items.","Por favor, selecione um endereço de entrega para os itens aplicáveis."
"Product","Produto"
"Qty","Qtd"
"Send To","Enviar para"
"A shipping selection is not applicable.","A seleção de envio não é aplicável."
"Actions","Ações"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Go to Shipping Information","Ir para informações de envio"
"Update Qty &amp; Addresses","Atualizar Qtde &amp; Endereços"
"Enter a New Address","Inserir um novo endereço"
"Back to Shopping Cart","Volta ao carrinho de compras"
"Billing Address","Endereço de Cobrança"
"Change","Alterar"
"Payment Method","Forma de pagamento"
"Go to Review Your Order","Rever o seu pedido"
"Back to Shipping Information","Voltar para informações de envio"
"Other items in your order","Outros itens no seu pedido"
"Edit Items","Editar itens"
"Shipping is not applicable.","O envio não é aplicável."
"Product Name","Nome do produto"
"Check Out with Multiple Addresses","Finalizar Compra utilizando vários endereços"
"Address %1 <span>of %2</span>","Endereço %1 <span>de %2</span>"
"Shipping To","Enviar para"
"Shipping Method","Método de Entrega"
"Incl. Tax","Imposto Incl."
"Excl. Tax","Excl. Impostos"
"Order Review","Resumo do Pedido"
"Item","Item"
"Edit","Editar"
"Price","Preço"
"Subtotal","Subtotal"
"Items","Itens"
"Grand Total:","Total geral:"
"Submitting order information...","Enviado informações do pedido..."
"Sorry, no quotes are available for this order right now.","Desculpa, sem aspas estão disponíveis para este fim."
"Continue to Billing Information","Continuar em Informações de Cobrança"
"Back to Select Addresses","Volta para seleção de endereços"
"Thank you for your purchase!","Obrigado por sua compra!"
"Thanks for your order. We'll email you order details and tracking information.","Obrigado por sua compra. Vamos enviar um e-mail com os detalhes do pedido e as informações de rastreamento."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"Continue Shopping","Continuar Comprando"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"Multishipping Settings","Multishipping Settings"
"Options","Opções"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Review Order","Revisar pedido"
"Select Shipping Method","Select Shipping Method"
"We received your order!","Recebemos o seu pedido!"
