"Gift Card Information","Informações do cartão presente"
"Virtual","Virtual"
"Physical","Física"
"Combined","Combinado"
"Add Amount","Adicione a quantidade"
"All Websites","Todos os sites"
"Gift Card Type","Tipo de cartão de presente"
"Gift Card Sender","Remetente do cartão de presente"
"Gift Card Recipient","Destinatário do cartão de presente"
"Gift Card Message","Mensagem do cartão de presente"
"Gift Card Lifetime","Vida do cartão de presente"
"Yes","Sim"
"No","Não"
"Gift Card Is Redeemable","Cartão presente é resgatável"
"We cannot create this gift card.","Não podemos criar este cartão de presente."
"N/A","Não Disponível"
"Gift Card Accounts","Contas de cartão de presente"
"Duplicate amount found.","Encontrada quantidade duplicada."
"Something went wrong while preparing the gift card.","Algo deu errado, enquanto preparávamos o cartão presente."
"Please specify a gift card amount.","Por favor, especifique uma quantidade de cartão presente."
"Please specify all the required information.","Por favor especifique todas as informações necessárias."
"Gift Card max amount is %1","Quantidade máxima do cartão presente é %1"
"Gift Card min amount is %1","Quantidade minima do cartão presente é %1"
"Please specify a recipient name.","Por favor, especifique um nome de destinatário."
"Please specify a sender name.","Por favor, especifique um nome de remetente."
"Please specify a recipient email.","Por favor, especifique um email de destinatário."
"Please specify a sender email.","Por favor, especifique um e-mail do remetente."
"Ordered","Ordenado"
"Invoiced","Faturado"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Algumas contas de cartão de presente não foram criadas corretamente. Você pode criar a conta manualmente <a href=""%1""> aqui</a>."
"Availability:","Disponibilidade:"
"Out of stock","Fora de estoque"
"Amount","Quantidade"
"Choose an Amount...","Escolha um montante..."
"Other Amount...","Outra quantidade..."
"Amount in %1","Valor em %1"
"Minimum","Mínimo"
"Maximum","Máximo"
"Sender Name","Nome do remetente"
"Sender Email","E-mail do remetente"
"Recipient Name","Nome do destinatário"
"Recipient Email","E-mail de destinatário"
"Message","Mensagem"
"Maximum length of the message is %1 characters.","O comprimento máximo da mensagem é de %1 caracteres."
"Quantity","Quantidade"
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Use Config Settings","Usar Configurações padrão"
"Lifetime (days)","Período (dias)"
"Allow Message","Permitir mensagem"
"Email Template","Template de E-mail"
"Website","Website"
"Action","Ação"
"Delete Amount","Excluir quantidade"
"Delete","Excluir"
"From","De"
"Minimum: %1","Mínimo: %1"
"Maximum: %1","Máxima: %1"
"Availability","Disponibilidade"
"In stock","Em estoque"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Resgatáveis"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
