"Edit Event...","Editar Evento..."
"Add Event...","Adicionar Evento..."
"Events","Eventos"
"Add Catalog Event","Adicionar Evento de Catálogo"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Back to Category","Voltar à categoria"
"Edit Catalog Event","Editar Evento de Catálogo"
"Catalog Event Information","Informação de Evento de Catálogo"
"Category","Categoria"
"Start Date","Data de Início"
"End Date","Data de Término"
"Image","Imagem"
"Sort Order","Ordernação"
"Upcoming","Próximos"
"Open","Abrir"
"Closed","Fechado"
"Display Countdown Ticker On","Exibir Contagem Regressiva Em"
"Category Page","Página de Categoria"
"Product Page","Página de Produto"
"Status","Status"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"Coming Soon","Em Breve"
"Sale Ends In","Venda Termina Em"
"Catalog","Catálogo"
"You deleted the event.","Você excluiu o evento."
"New Event","Novo evento"
"Default Values","Valor Padrão"
"Something went wrong while saving this event.","Ocorreu um problema ao salvar o este evento."
"We did not upload your image.","Não foi possível fazer o envio da imagem."
"You saved the event.","Você salvou o evento."
"%1 is required.","%s é obrigatório."
"Please make sure the end date follows the start date.","Por favor, certifique-se que a data final segue a data de início."
"Event for selected category","Evento para a categoria selecionada"
"Lister Block","lista de bloco"
"This product is no longer on sale.","Este produto não está mais à venda."
"Some of these products can no longer be sold.","Alguns destes produtos não estão mais disponíveis."
"Select Category","Selecionar categoria"
"Use Default Value","Usar o Valor Padrão"
"Days","Dias"
"Hrs","Hr"
"Mins","Min"
"Sec","Seg"
"Preview Sale","Prévia de Venda"
"Go To Sale","Ir para venda"
"View Sale","Visualizar Venda"
"Previous","Anterior"
"Next","Próximo"
"Catalog Events","Catálogo de eventos"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on Storefront","Enable Catalog Event Widget on Storefront"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Frame Size","Frame Size"
"Number of Items to display at once","Number of Items to display at once"
"Scroll","Rolagem"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Block Custom Width","Block Custom Width"
"If empty, we'll automatically set the width value in pixels.","If empty, we'll automatically set the width value in pixels."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","ID"
"Category ID","ID da categoria"
"Start","Ínicio"
"End","End"
"Countdown Ticker","Countdown Ticker"
"Action","Ação"
"Edit","Editar"
