"Search Term","Termo de pesquisa"
"Results","Resultados"
"Uses","Usos"
"Search Terms","Termos de pesquisa"
"Search","Pesquisa"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Save Search","Salvar busca"
"Delete Search","Excluir pesquisa"
"Edit Search '%1'","Editar pesquisa '%1'"
"New Search","Nova pesquisa"
"Search Information","Informações de pesquisa"
"General Information","Informações gerais"
"No","Não"
"Yes","Sim"
"Search Query","Search Query"
"Store","Loja"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"For the last time placed.","For the last time placed."
"Number of Uses","Number of Uses"
"Synonym For","Sinônimo para"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL","URL de redirecionamento"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Exibir em termos sugeridos"
"You deleted the search.","Você excluiu a pesquisa."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","Esta pesquisa não existe mais."
"Edit Search","Editar pesquisa"
"Please select searches.","Por favor, selecione as pesquisas."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Reports","Relatórios"
"Search Terms Report","Relatório de termos de pesquisa"
"You saved the search term.","Você salvou o termo de pesquisa."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You already have an identical search term query.","You already have an identical search term query."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Search entire store here...","Pesquisa em toda loja..."
"There are no search terms available.","Não há nenhum termo de pesquisa disponível."
"Search Engine","Motor de busca"
"CSV","CSV"
"Excel XML","Excel, XML"
"ID","ID"
"Hits","Visitas"
"Delete","Excluir"
"Are you sure?","Você tem certeza?"
"Synonym","Sinônimo"
"Suggested Terms","Termos sugeridos"
"yes","sim"
"no","não"
"Action","Ação"
"Edit","Editar"
